index_id,battery,camera,display,memory,name_a,price,processor,rating,reviews,warranty
827,2000 mAh Battery,5MP Rear Camera | 0.3MP Front Camera,11.43 cm (4.5 inch) FWVGA Display,512 MB RAM | 4 GB ROM | Expandable Upto 32 GB,"XOLO Q600 (White, 4 GB)",6935,1 Year for Mobile & 6 Months for Accessories,4.1,37 Reviews,
828,3500 mAh Battery,16MP Rear Camera,16.26 cm (6.4 inch) Display,8 GB RAM | 128 GB ROM,"OPPO R17 (Ambient Blue, 128 GB)",22999,1 year manufacturer warranty,,,
829,3100 mAh Battery,13MP Rear Camera | 13MP Front Camera,15.21 cm (5.99 inch) Full HD Display,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"Gome U7 (Blue, 128 GB)",9998,6 Month warranty other than breakage,3.4,3 Reviews,
830,4000 mAh Battery,13MP Rear Camera | 8MP Front Camera,13.84 cm (5.45 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,"Asus ZenFone Max M1 (Black, 32 GB)",6499,Qualcomm Snapdragon 430 Processor,4.1,"17,701 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
831,3360 mAh Li-ion Battery,13MP Rear Camera | 5MP Front Camera,15.24 cm (6 inch) HD+ Display,3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,"Vivo Y71 (Matte Black, 16 GB)",10999,Qualcomm Snapdragon 425 Processor,4.3,415 Reviews,Brand Warranty of 1 Year Available for Mobile
832,4000 mAh Li-ion Battery,25MP + 5MP + 8MP | 16MP Front Camera,16.26 cm (6.4 inch) HD+ Display,4 GB RAM | 64 GB ROM,"Samsung Galaxy A30s (Prism Crush Violet, 64 GB)",18900,Exynos 7904 Processor,4.3,298 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
833,3050 mAh Li-Polymer Battery,16MP Rear Camera | 8MP Front Camera,13.97 cm (5.5 inch) Full HD Display,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,"Moto M (Silver, 64 GB)",9999,MediaTek Helio P15 64-bit Octa Core 2.2GHz Processor,3.9,"13,343 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
834,3000 mAh Battery,13MP Rear Camera,13.84 cm (5.45 inch) HD Display,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,"Redmi 6A (Blue, 32 GB)",6450,Mediateck Processor,4.3,"3,666 Reviews",1 Year Manufacturer Warranty
835,2900 mAh Li-Ion Battery,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Full HD Display,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,"Lenovo K3 Note (Black, 16 GB)",7399,ARM Cortex-A53 (MediaTek MT6752 64-bit 4G LTE) Processor,4,"24,533 Reviews",Brand Warranty of 1 Year
836,4000 mAh Battery,13MP + 2MP | 8MP Front Camera,15.9 cm (6.26 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,"Asus ZenFone Max M2 (Black, 32 GB)",7999,Qualcomm Snapdragon 632 Octa Core Processor,4.3,"12,649 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
837,2000 mAh Battery,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,"Panasonic Eluga L 4G (Radiant Blue, 8 GB)",3990,Qualcomm Snapdragon 410 Processor,3.5,23 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
838,3300 mAh Battery,16MP + 13MP | 5MP Front Camera,15.24 cm (6 inch) Quad HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,"LG V30+ (Silver, 128 GB)",24999,Qualcomm Snapdragon 835 Processor,4.3,449 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
839,3500 mAh Battery,13MP + 5MP + 13MP,15.21 cm (5.99 inch) Display,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,"Gome C7 Note (Gold, 16 GB)",5999,1 Year,4.7,1 Reviews,
840,3000 mAh Battery,13MP Rear Camera | 13MP Front Camera,13.84 cm (5.45 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,"Mobiistar E1 Selfie (Gold, 32 GB)",5399,1 Year on Handset & 6 Months on Accessories,3.8,57 Reviews,
841,2900 mAh Li-Ion Battery,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Full HD Display,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,"Lenovo K3 Note (Black, 16 GB)",7399,ARM Cortex-A53 (MediaTek MT6752 64-bit 4G LTE) Processor,4,"24,533 Reviews",Brand Warranty of 1 Year
842,4000 mAh Battery,13MP + 2MP | 8MP Front Camera,15.9 cm (6.26 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,"Asus ZenFone Max M2 (Black, 32 GB)",7999,Qualcomm Snapdragon 632 Octa Core Processor,4.3,"12,649 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
843,2000 mAh Battery,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,"Panasonic Eluga L 4G (Radiant Blue, 8 GB)",3990,Qualcomm Snapdragon 410 Processor,3.5,23 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
844,3300 mAh Battery,16MP + 13MP | 5MP Front Camera,15.24 cm (6 inch) Quad HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,"LG V30+ (Silver, 128 GB)",24999,Qualcomm Snapdragon 835 Processor,4.3,449 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
845,3500 mAh Battery,13MP + 5MP + 13MP,15.21 cm (5.99 inch) Display,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,"Gome C7 Note (Gold, 16 GB)",5999,1 Year,4.7,1 Reviews,
846,3000 mAh Battery,13MP Rear Camera | 13MP Front Camera,13.84 cm (5.45 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,"Mobiistar E1 Selfie (Gold, 32 GB)",5399,1 Year on Handset & 6 Months on Accessories,3.8,57 Reviews,
847,5000 mAh Battery,13MP + 5MP | 8MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 512 MB,"Samsung Galaxy M20 (Ocean Blue, 32 GB)",10990,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.3,147 Reviews,
848,2000 mAh Battery,8MP Rear Camera | 2MP Front Camera,11.43 cm (4.5 inch) FWVGA Display,1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,"LYF C459 (Blue, 8 GB)",3699,1 Year Manufacturer Warranty,3.5,274 Reviews,
849,2600 mAh Battery,13MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,"Samsung Galaxy J5 (Black, 8 GB)",7990,Qualcomm MSM8916 Processor,4.3,"2,290 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
850,1750 mAh Li-Ion Battery,5MP Rear Camera | 0.3MP Front Camera,11.43 cm (4.5 inch) FWVGA Display,512 MB RAM | 8 GB ROM,"Lava A51 (Black, 8 GB)",3199,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.5,107 Reviews,
851,3050 mAh Battery,13MP + 2MP | 13MP Front Camera,13.97 cm (5.5 inch) HD+ Display,2 GB RAM | 16 GB ROM,"Tecno Camon I Sky 2 (Champagne Gold, 16 GB)",6089,1 Year Warranty,4.1,40 Reviews,
852,3050 mAh Li-ion Polymer Battery,13MP Rear Camera | 8MP Front Camera,13.84 cm (5.45 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,"Infinix Smart 2 (Serene Gold, 32 GB)",7499,MTK6739 64 bit Quad Core Processor,4,"4,013 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
853,3050 mAh Li-ion Polymer Battery,13MP Rear Camera | 8MP Front Camera,13.84 cm (5.45 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,"Infinix Smart 2 (Sandstone Black, 32 GB)",7499,MTK6739 64 bit Quad Core Processor,4,"4,013 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
854,3130 mAh Battery,13MP Rear Camera | 8MP Front Camera,13.97 cm (5.5 inch) Full HD Display,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,"Gionee S6 Pro (Gold, 32 GB)",7499,MediaTek Helio P10 MTK6755m 64-bit Processor,3.6,75 Reviews,Brand Warranty of 1 Year
